shipment_id,buyer_id,product_id,product_description,hs_code,quantity,unit_price,total_fob,incoterm,freight_cost,customs_status,drawback_amount,payment_status,days_to_payment,transit_time_days
SHIP_1203,B_GER_03,P001,Organic Cotton T-shirt 100% knitted,610910,674,5.72,3855.28,CIF,1749,cleared,77.11,received,24,35
SHIP_1204,B_GER_03,P001,Organic Cotton T-shirt 100% knitted,610910,943,5.56,5243.08,CIF,1935,cleared,104.86,received,29,35
SHIP_1205,B_USA_01,P004,Decorative Ceramic Vase,691310,243,11.41,2772.63,FOB,576,cleared,55.45,received,29,30
SHIP_1206,B_USA_01,P001,Organic Cotton T-shirt 100% knitted,610910,340,5.28,1795.2,EXW,777,cleared,35.9,received,34,29
SHIP_1207,B_GER_03,P003,Leather Handbag Genuine,420221,860,45.74,39336.4,EXW,1606,cleared,786.73,received,36,33
SHIP_1208,B_UAE_02,P002,Silk Scarf Premium,621410,770,20.91,16100.7,FOB,1502,cleared,322.01,received,49,28
SHIP_1209,B_USA_01,P003,Leather Handbag Genuine,420221,806,43.47,35036.82,CIF,944,cleared,700.74,received,38,29
SHIP_1210,B_UAE_02,P002,Silk Scarf Premium,621410,201,22.11,4444.11,EXW,1252,cleared,88.88,received,44,35
SHIP_1211,B_USA_01,P003,Leather Handbag Genuine,420221,507,45.86,23251.02,CIF,888,cleared,465.02,received,17,29
SHIP_1212,B_GER_03,P001,Organic Cotton T-shirt 100% knitted,610910,317,5.58,1768.86,EXW,1809,cleared,35.38,received,48,15
SHIP_1213,B_UAE_02,P001,Organic Cotton T-shirt 100% knitted,610910,349,5.35,1867.15,FOB,1656,cleared,37.34,received,23,17
SHIP_1214,B_USA_01,P005,Basmati Rice 5kg Export Grade,100630,700,8.17,5719.0,FOB,977,cleared,114.38,received,31,39
SHIP_1215,B_GER_03,P002,Silk Scarf Premium,621410,102,21.42,2184.84,CIF,796,cleared,43.7,received,18,32
SHIP_1216,B_USA_01,P003,Leather Handbag Genuine,420221,212,44.21,9372.52,EXW,552,cleared,187.45,received,18,15
SHIP_1217,B_USA_01,P003,Leather Handbag Genuine,420221,702,46.11,32369.22,CIF,532,cleared,647.38,received,21,23
SHIP_1218,B_USA_01,P001,Organic Cotton T-shirt 100% knitted,610910,859,5.58,4793.22,CIF,1577,cleared,95.86,received,17,38
SHIP_1219,B_UAE_02,P001,Organic Cotton T-shirt 100% knitted,610910,559,5.69,3180.71,CIF,1551,cleared,63.61,received,47,18
SHIP_1220,B_GER_03,P004,Decorative Ceramic Vase,691310,326,12.19,3973.94,EXW,588,cleared,79.48,received,43,24
SHIP_1221,B_GER_03,P004,Decorative Ceramic Vase,691310,131,12.08,1582.48,FOB,1480,cleared,31.65,received,35,28
SHIP_1222,B_UAE_02,P001,Organic Cotton T-shirt 100% knitted,610910,829,5.28,4377.12,CIF,650,cleared,87.54,received,15,25
SHIP_1223,B_USA_01,P005,Basmati Rice 5kg Export Grade,100630,167,7.89,1317.63,FOB,1063,cleared,26.35,received,49,35
SHIP_1224,B_GER_03,P005,Basmati Rice 5kg Export Grade,100630,829,7.81,6474.49,CIF,1280,cleared,129.49,received,48,31
SHIP_1225,B_UAE_02,P003,Leather Handbag Genuine,420221,617,43.85,27055.45,EXW,1381,cleared,541.11,received,16,40
SHIP_1226,B_GER_03,P001,Organic Cotton T-shirt 100% knitted,610910,766,5.76,4412.16,EXW,1976,cleared,88.24,received,23,28
SHIP_1227,B_USA_01,P004,Decorative Ceramic Vase,691310,523,11.87,6208.01,CIF,1428,cleared,124.16,received,35,28
SHIP_1228,B_UAE_02,P001,Organic Cotton T-shirt 100% knitted,610910,537,5.72,3071.64,CIF,1862,cleared,61.43,received,26,26
SHIP_1229,B_GER_03,P002,Silk Scarf Premium,621410,585,22.29,13039.65,FOB,686,cleared,260.79,received,15,17
SHIP_1230,B_USA_01,P004,Decorative Ceramic Vase,691310,862,12.35,10645.7,EXW,1263,cleared,212.91,received,18,32
SHIP_1231,B_GER_03,P001,Organic Cotton T-shirt 100% knitted,610910,675,5.5,3712.5,EXW,1175,cleared,74.25,received,17,28
SHIP_1232,B_GER_03,P003,Leather Handbag Genuine,420221,868,45.35,39363.8,CIF,1976,cleared,787.28,received,13,24
SHIP_1233,B_UAE_02,P005,Basmati Rice 5kg Export Grade,100630,460,7.99,3675.4,FOB,1683,cleared,73.51,received,42,21
SHIP_1234,B_GER_03,P002,Silk Scarf Premium,621410,593,21.33,12648.69,FOB,721,cleared,252.97,received,32,32
SHIP_1235,B_USA_01,P003,Leather Handbag Genuine,420221,880,46.0,40480.0,CIF,1675,cleared,809.6,received,24,40
SHIP_1236,B_GER_03,P004,Decorative Ceramic Vase,691310,885,11.74,10389.9,EXW,1756,cleared,207.8,received,45,15
SHIP_1237,B_GER_03,P005,Basmati Rice 5kg Export Grade,100630,949,7.62,7231.38,EXW,1047,cleared,144.63,received,11,20
SHIP_1238,B_GER_03,P003,Leather Handbag Genuine,420221,880,45.65,40172.0,CIF,1195,cleared,803.44,received,32,15
SHIP_1239,B_USA_01,P002,Silk Scarf Premium,621410,679,21.29,14455.91,EXW,1320,cleared,289.12,received,14,19
SHIP_1240,B_USA_01,P001,Organic Cotton T-shirt 100% knitted,610910,864,5.74,4959.36,EXW,940,cleared,99.19,received,34,28
SHIP_1241,B_UAE_02,P004,Decorative Ceramic Vase,691310,261,12.54,3272.94,CIF,1138,cleared,65.46,received,30,39
SHIP_1242,B_GER_03,P005,Basmati Rice 5kg Export Grade,100630,186,8.33,1549.38,FOB,818,cleared,30.99,received,20,39
SHIP_1243,B_USA_01,P005,Basmati Rice 5kg Export Grade,100630,790,7.9,6241.0,FOB,1057,cleared,124.82,received,38,36
SHIP_1244,B_UAE_02,P004,Decorative Ceramic Vase,691310,721,11.42,8233.82,CIF,1348,cleared,164.68,received,27,21
SHIP_1245,B_USA_01,P005,Basmati Rice 5kg Export Grade,100630,453,8.34,3778.02,CIF,727,cleared,75.56,received,28,36
SHIP_1246,B_UAE_02,P005,Basmati Rice 5kg Export Grade,100630,639,7.94,5073.66,EXW,1131,cleared,101.47,received,12,22
SHIP_1247,B_GER_03,P004,Decorative Ceramic Vase,691310,156,12.56,1959.36,FOB,918,cleared,39.19,received,29,21
SHIP_1248,B_UAE_02,P002,Silk Scarf Premium,621410,396,23.02,9115.92,CIF,745,cleared,182.32,received,10,30
SHIP_1249,B_USA_01,P004,Decorative Ceramic Vase,691310,232,12.42,2881.44,CIF,1590,cleared,57.63,received,24,31
